recipe_id,ingredient_full
149,"['물 1.5종이컵', '진간장 1종이컵', '매실청 0.5종이컵', '설탕 0.3종이컵', '식초 0.3종이컵', '깻잎 30장', '식초 세척 1숟갈']"
150,"['건새우 2줌', '케찹 2큰술', '간장 1큰술', '올리고당 1큰술', '설탕 1/2큰술']"
151,"['마늘쫑 1줌 1봉지', '고춧가루 1큰술', '다진 마늘 0.5큰술', '고추장 2큰술', '진간장 2큰술', '매실액 2큰술', '올리고당 0.5큰술', '설탕 0.5큰술', '참기름 1큰술', '통깨 0.5큰술']"
152,"['양파 크기에 따라 23개', '간장 1/2컵', '설탕 1/2컵', '식초 1컵', '물 1컵']"
153,"['표고버섯 5개', '꽈리고추 5개', '통깨 약간', '참기름 약간', '간장 5숟가락', '설탕 3숟가락', '물 1종이컵', '다진 마늘 1/2숟가락']"
154,"['두부 1모', '참치 캔(小) 1개', '양파 1/2개', '청양고추 1/2개', '홍고추 1/2개', '대파 1/2대', '고추장 1큰술', '간장 23큰술', '고춧가루 1큰술', '다진 마늘 1큰술', '후추 약간', '설탕 1큰술', '올리고당 1큰술', '참기름 약간']"
155,"['오이 1개', '양파 1/2개', '소금 1큰술', '고춧가루 2큰술', '간장 1큰술', '식초 2큰술', '설탕 1/2큰술', '매실 1큰술', '다진 마늘 1/2큰술', '갈은 깨 1큰술', '참기름 1/2큰술']"
156,"['부추 ', '양파 ', '간장 2스푼', '맛술 1스푼', '식초 1스푼', '참기름 1스푼', '매실액 1스푼', '올리고당 1스푼', '고추가루 1스푼', '마늘 1/2스푼', '통깨 1/2스푼']"
157,"['두부 1모', '설탕 1숟가락', '맛 간장 4숟가락', '물 4숟가락', '다진 마늘 1숟가락', '참기름 1숟가락', '후춧가루 약간', '통깨 약간', '소금 밑간 약간']"
158,"['감자 3개', '당근 1/2개', '양파 1개', '통마늘 5개', '검은깨 조금', '통깨 조금', '진간장 5T', '설탕 3T', '올리고당 1T', '물 2종이컵', '참기름 1T']"
